cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
10,L2_primal,0.01,0.5952172406265094,0.6926117343649258,0.42271760890228743,0.004217075358845184,0.007602211577172482,0.007691875929611601,L2_Logistic_Regression
100,L2_primal,0.01,0.5952175381797699,0.6925960025789814,0.42274207565260113,0.00421734685717558,0.007608000619142532,0.007662587566007054,L2_Logistic_Regression
1000,L2_primal,0.01,0.5952176808407901,0.6926034816247583,0.42273423374544933,0.004217612991374094,0.007609701065432422,0.007660476938734993,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5936726820544257,0.6967373307543521,0.4131764919274471,0.004217505898374342,0.011561326049859,0.011403996485446637,L2_Logistic_Regression
0.01,L2_primal,0.01,0.594034372908329,0.6920546744036106,0.4215721060964661,0.004163092545952074,0.009641669131284766,0.011047551352889063,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5940054698416325,0.6896544165054803,0.42440919851158954,0.004156945478545303,0.008198237636004881,0.008967474596847614,L2_Logistic_Regression
1,L2_primal,0.01,0.5939981256343388,0.6899703417150226,0.42399169006244797,0.004161194718281569,0.008016176153748774,0.008560482641113582,L2_Logistic_Regression
10,L2_primal,0.01,0.5939985761489155,0.6900059316569955,0.4239358557819044,0.004162019103213655,0.008019108702742674,0.008474283891415914,L2_Logistic_Regression
100,L2_primal,0.01,0.5939984436403017,0.6900059316569955,0.4239358557819044,0.004162056516441145,0.008019108702742674,0.008474283891415914,L2_Logistic_Regression
1000,L2_primal,0.01,0.5939984662077626,0.6900059316569955,0.4239358557819044,0.004162051675901725,0.008019108702742674,0.008474283891415914,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5953133123117363,0.6941586073500967,0.4198949422514923,0.004119101206234769,0.010156941011629953,0.010587288775482626,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5956285535774751,0.6929756286266925,0.4258897442365118,0.004116278463683805,0.010226120578075506,0.01193523070568016,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5956039188571736,0.6897315280464217,0.4306204593180991,0.004112405038875739,0.008654551456072577,0.010305541012872826,L2_Logistic_Regression
1,L2_primal,0.01,0.5955994145547818,0.689525467440361,0.4309259709700148,0.004114565521874759,0.008364320759967436,0.010020453207657924,L2_Logistic_Regression
10,L2_primal,0.01,0.5955984017199037,0.6895383623468729,0.43091122823375805,0.0041146565871218585,0.008324887087342213,0.009999771153979872,L2_Logistic_Regression
100,L2_primal,0.01,0.5955983650770306,0.6895136041263701,0.43094353689122356,0.004114695760436592,0.00833305789167278,0.010036215532333918,L2_Logistic_Regression
1000,L2_primal,0.01,0.5955983122971015,0.6895136041263701,0.43094353689122356,0.004114684772586863,0.00833305789167278,0.010036215532333918,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5951772646247567,0.6990215344938749,0.4143828784297553,0.0041840838189297945,0.01171920680503824,0.011607188495121731,L2_Logistic_Regression
